Country;Year;Area_Forest_ha;Area_Forest_harvestable_ha;TotalGrowingStock_m3_yr;Reference
Czech Republic;1990;2629000;nan;624400000;Global Forest Resources Assessment (FRA, 2015)
Czech Republic;2000;2637000;nan;698700000;Global Forest Resources Assessment (FRA, 2015)
Czech Republic;2005;2647000;nan;735100000;Global Forest Resources Assessment (FRA, 2015)
Czech Republic;2010;2657000;nan;754600000;Global Forest Resources Assessment (FRA, 2015)
Czech Republic;2015;2667000;nan;791200000;Global Forest Resources Assessment (FRA, 2015)
Hungary;1990;1801000;nan;288007000;Global Forest Resources Assessment (FRA, 2015)
Hungary;2000;1917000;nan;325165000;Global Forest Resources Assessment (FRA, 2015)
Hungary;2005;1983000;nan;341394000;Global Forest Resources Assessment (FRA, 2015)
Hungary;2010;2046000;nan;359064000;Global Forest Resources Assessment (FRA, 2015)
Hungary;2015;2069000;130000;377049000;Global Forest Resources Assessment (FRA, 2015)
Romania;1990;6371000;nan;1347500000;Global Forest Resources Assessment (FRA, 2015)
Romania;2000;6366000;nan;1346400000;Global Forest Resources Assessment (FRA, 2015)
Romania;2005;6391000;nan;1351700000;Global Forest Resources Assessment (FRA, 2015)
Romania;2010;6515000;nan;1377900000;Global Forest Resources Assessment (FRA, 2015)
Romania;2015;6861000;nan;1930400000;Global Forest Resources Assessment (FRA, 2015)
Serbia;1990;2313000;nan;235000000;Global Forest Resources Assessment (FRA, 2015)
Serbia;2000;2460000;nan;250000000;Global Forest Resources Assessment (FRA, 2015)
Serbia;2005;2476000;nan;298000000;Global Forest Resources Assessment (FRA, 2015)
Serbia;2010;2713000;nan;415000000;Global Forest Resources Assessment (FRA, 2015)
Serbia;2015;2720000;nan;418000000;Global Forest Resources Assessment (FRA, 2015)
Slovakia;1990;1922000;nan;401600000;Global Forest Resources Assessment (FRA, 2015)
Slovakia;2000;1921000;nan;463200000;Global Forest Resources Assessment (FRA, 2015)
Slovakia;2005;1932000;nan;494600000;Global Forest Resources Assessment (FRA, 2015)
Slovakia;2010;1939000;nan;514100000;Global Forest Resources Assessment (FRA, 2015)
Slovakia;2015;1940000;nan;532100000;Global Forest Resources Assessment (FRA, 2015)
Slovenia;1990;1188000;nan;273300000;Global Forest Resources Assessment (FRA, 2015)
Slovenia;2000;1233000;nan;332800000;Global Forest Resources Assessment (FRA, 2015)
Slovenia;2005;1243000;nan;374100000;Global Forest Resources Assessment (FRA, 2015)
Slovenia;2010;1247000;nan;406100000;Global Forest Resources Assessment (FRA, 2015)
Slovenia;2015;1248000;nan;431600000;Global Forest Resources Assessment (FRA, 2015)