Country;Element;Item Code;Item;Year;Unit;Applied_fertilizer_cropland_kg_per_ha;Flag;data_quality
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;30.44;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;26.86;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;28.9;Fc;Calculated data
Poland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;28.86;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;1.13;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;1.39;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;2.66;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;3.93;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;8.16;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;3.88;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;4.29;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;12.83;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;13.38;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;12.23;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;12.39;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;12.88;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;14.41;Fc;Calculated data
Romania;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;14.02;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;25.76;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;33.74;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;51.94;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;44.59;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;35.31;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;51.79;Fc;Calculated data
Serbia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;84.92;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;10.68;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;13.58;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;14.53;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;14.84;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;16.48;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;15.78;Fc;Calculated data
Slovakia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;17.8;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;41.48;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;38.46;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;37.73;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;37.51;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;38.55;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;39.75;Fc;Calculated data
Slovenia;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;38.54;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;37.37;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;38.21;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;29.17;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;34.99;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;33.24;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;34.33;Fc;Calculated data
Switzerland;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;34.47;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2010;kg/ha;4.72;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2011;kg/ha;5.84;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2012;kg/ha;6.63;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2013;kg/ha;7.04;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2014;kg/ha;7.16;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2015;kg/ha;6.63;Fc;Calculated data
Ukraine;Use per area of cropland;3103;Nutrient phosphate P2O5 (total);2016;kg/ha;8.52;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;26.72;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;22.08;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;24.64;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;25.02;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;26.79;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;24.55;Fc;Calculated data
Austria;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;24.33;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;3.26;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;3.73;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;6.9;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;9.74;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;7.87;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;8.61;Fc;Calculated data
Bulgaria;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;8.63;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;49.81;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;41.4;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;34.27;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;36.17;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;49.25;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;39.58;Fc;Calculated data
Croatia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;19.57;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;7.81;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;8.39;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;6.89;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;11.93;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;13.51;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;13.06;Fc;Calculated data
Czechia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;14.79;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;36.01;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;32;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;34.99;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;37.85;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;38.09;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;33;Fc;Calculated data
Germany;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;35.95;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;12.39;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;12.29;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;14.44;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;15.79;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;17.31;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;17.81;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;21.53;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;2.78;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;2.67;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;2.12;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;42.26;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;39.39;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;35.34;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;44.45;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;40.55;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;36.41;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;34.46;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;44.25;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;42.91;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;46.68;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;44.98;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;0.62;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;0.7;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;1.04;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;1.18;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;1.52;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;0.99;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;1.38;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;5.36;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;5.02;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;3.78;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;3.65;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;3.27;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;4.64;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;4.85;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;34.01;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;28.11;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;33.43;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;27.74;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;32.04;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;24.09;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;31.61;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;7.27;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;9.42;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;10.45;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;10.68;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;12.02;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;11.83;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;13.82;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;51.11;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;47.18;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;45.84;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;45.69;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;44.97;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;48.55;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;47.77;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;50.17;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;50.22;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;37.02;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;42.53;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;46.97;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;44.84;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;42.41;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;3.85;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;5.07;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;5.84;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;6.35;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;6.22;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;6.14;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;7.26;Fc;Calculated data
