DomainCode;Domain;CountryCode;Country;ElementCode;Element;ItemCode;Item;Year;ImportValue_USD;Flag;Flag Description
RM;Machinery;11;Austria;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;90875000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455014;Harvester and threshers (trade);2007;286946000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;40700000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455016;Soil working equipment (trade);2007;138054000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;3785000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455014;Harvester and threshers (trade);2007;10651000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;2600000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455016;Soil working equipment (trade);2007;5117000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;16598000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455014;Harvester and threshers (trade);2007;47297000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;7692000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455016;Soil working equipment (trade);2007;33422000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;12962000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455014;Harvester and threshers (trade);2007;53626000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;4023000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455016;Soil working equipment (trade);2007;24158000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;60320000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455014;Harvester and threshers (trade);2007;236174000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;11377000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455016;Soil working equipment (trade);2007;102683000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;299370000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455014;Harvester and threshers (trade);2007;1240381000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;118082000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455016;Soil working equipment (trade);2007;353271000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;23418000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455014;Harvester and threshers (trade);2007;178082000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;9844000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455016;Soil working equipment (trade);2007;83232000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;83810000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455014;Harvester and threshers (trade);2007;305962000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;33862000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455016;Soil working equipment (trade);2007;126992000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;5427000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455014;Harvester and threshers (trade);2007;11206000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;434000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455016;Soil working equipment (trade);2007;5469000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;53796000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455014;Harvester and threshers (trade);2007;87791000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;17614000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455016;Soil working equipment (trade);2007;63769000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;8401000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455014;Harvester and threshers (trade);2007;45924000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;4300000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455016;Soil working equipment (trade);2007;17186000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;25105000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455014;Harvester and threshers (trade);2007;115455000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;13036000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455016;Soil working equipment (trade);2007;46074000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;9518000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455014;Harvester and threshers (trade);2007;44410000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;1850000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455016;Soil working equipment (trade);2007;12555000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;54533000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455014;Harvester and threshers (trade);2007;273196000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;30406000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455016;Soil working equipment (trade);2007;142692000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;103772000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455014;Harvester and threshers (trade);2008;392257000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;51963000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455016;Soil working equipment (trade);2008;196829000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;3210000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455014;Harvester and threshers (trade);2008;12646000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;6517000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455016;Soil working equipment (trade);2008;7462000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;12857000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455014;Harvester and threshers (trade);2008;120201000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;5658000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455016;Soil working equipment (trade);2008;82541000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;18908000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455014;Harvester and threshers (trade);2008;73464000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;5819000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455016;Soil working equipment (trade);2008;33654000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;52389000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455014;Harvester and threshers (trade);2008;308698000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;13204000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455016;Soil working equipment (trade);2008;147767000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;314670000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455014;Harvester and threshers (trade);2008;1672726000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;134752000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455016;Soil working equipment (trade);2008;434900000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;9007000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455014;Harvester and threshers (trade);2008;111674000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;39534000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455016;Soil working equipment (trade);2008;212028000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;94814000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455014;Harvester and threshers (trade);2008;459927000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;36117000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455016;Soil working equipment (trade);2008;215517000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;50397000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455014;Harvester and threshers (trade);2008;141153000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;20564000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455016;Soil working equipment (trade);2008;86849000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;10045000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455014;Harvester and threshers (trade);2008;58484000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;4649000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455016;Soil working equipment (trade);2008;24257000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;30581000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455014;Harvester and threshers (trade);2008;156227000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;21279000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;199;Slovakia;5622;Import Value;2455016;Soil working equipment (trade);2008;79017000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;13454000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455014;Harvester and threshers (trade);2008;62573000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;3353000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;198;Slovenia;5622;Import Value;2455016;Soil working equipment (trade);2008;19580000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455017;Agricultural machinery nes (trade);2008;83448000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455014;Harvester and threshers (trade);2008;560745000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455015;Milking, dairy machinery (trade);2008;20598000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;230;Ukraine;5622;Import Value;2455016;Soil working equipment (trade);2008;303824000;W;Data reported on country official publications or web sites (Official) or trade country files